card_hand,hand_strength,game_id
x???i?-U,-1.250888832487895e-38,2829593090
?(??????,8612608475136.0,164717759
"4?t""??1#",-91368208.0,1468243197
M???????,-2.6701394745032303e-05,764109534
k??????[,9.412448911810485e+21,2003593099
?Q:????x,1.6036429073551517e-08,1286564206
??????0?,-2.2603498066001954e-26,1470928558
`??}??y?,-3.834599177682837e-34,2111729589
????????,6.04023103630082e+17,464838411
?k??4e%(,-1128145280.0,2469544191
'??5???I,13205788.0,4111297845
??n5????,12236.92578125,606153485
??]U?m??,-7.259079845038825e-37,1340387589
????A??N,1.1815914913171355e-10,4249830679
??j?y???,4.986041105381908e-24,2346677910
??????he,29494.90234375,2072319007
???P??vM,29723.728515625,4219271678
F!q?~??O,6.44754134086134e-17,1323462156
?U??P???,-1.5836867887374727e+35,919682550
m?6'?>??,2.595559375278659e-22,2946997430
??????O?,3.3319639950542504e+19,3472723418
????.x?#,-4.219093097366171e+37,2399100926
z??$\?:?,-5.2872072621461576e+26,2913169839
?F?KA???,-1.2825222595867574e+20,66791928
v??????],nan,2773048083
????????,-2.8957364559173584,2807295290
?]??o?)?,5.453485912926552e+21,2745456603
??6Rv???,1.287811328397488e+27,2948308969
?r?'???&,-2.2995736426167923e-09,3742814763
??????~&,-5.883697122774467e+20,3119409253
????cD!f,8.946226737181419e+28,2775660062
???x?u?t,7.727333468210418e-06,1579438573
????????,-8.537436390804766e-34,445124342
-?Uh???~,1.3060745948029492e-17,2546805631
???G?M??,2.2575225585092988e+34,2453836629
????????,-1.5943893171478958e+37,3148664795
?]??$?}0,3.507560489836704e-29,3959839060
o?????N?,5.747899927046287e-30,1046526534
*C?K???a,-9.0099511342573e+23,2716032067
??????v?,8.154473578397819e-38,764010682
????????,-3.8258780197901932e-34,3626323931
? ??jN??,9.6776071600857e-09,3506604308
B??J?l?s,-8.212784767150879,1949068395
j?4????O,2.315941236165265e+36,843646177
???=!??`,-9.000205410912667e-31,761815841
?8_kG???,1.4454303955574783e+32,1992365385
[x|o??t?,-4.937077222738617e-13,2429699276
`;N ??yV,-1.1325619165147955e+17,1322502068
?G?]??d?,-1.710488169289967e-15,1693494571
W-?t??+(,8.377995560861546e+30,1716539302
?*?????%,-0.9333149790763855,2944163420
0?D?g???,-1.314886733109352e-36,3225716567
?g??????,-2.341174310194381e+30,1950633543
\???#h?0,-2.3328197460158323e-38,1473762752
.?z??G}},-16206.3837890625,216121545
???a?D??,2.2662030030318192e-09,3529396120
Mr?`$8?:,5.2627645938012276e-18,4081042829
"&???|,??",-5.496009487973331e-35,1522602327
???????S,189200624254976.0,3590219676
"????,I?!",-7.614630563849362e+25,1716137853
???\?yXG,6.975975955468952e+33,4038536160
?#`??OY2,-1.801153984961851e+22,3395061294
~T?V^???,-1.5516319692879898e+28,1963995367
?$!S??`$,-1.400592655628812e+27,1808045242
?PE?????,-0.001851582550443709,4225489483
???=7??V,-1.319435898480911e-18,225261359
b<??????,-1.5472067813278871e+29,1258264549
???o?d??,-2.1984319419281255e+24,2900187280
???<p?mw,-2.4736102436059787e+26,836198107
??(?m?u?,-21764004.0,3532665678
???JgJ??,-1.5444012588181629e+26,1203493390
?h?9???1,506533969920.0,1736072722
^?@????!,0.0027638922911137342,260585811
:??'?m??,-1.9260615442650567e+33,1834342116
???X??#?,5.519743125879054e+30,2569217683
???X????,-1.40266704964105e+18,3539709654
d???T?.?,-6.058695675339854e+31,2531021150
<??????V,7.004431892354904e-14,295083325
~??B?D??,6.087790468676592e-33,1010181896
??K???d?,-8.489318529638328e+36,3604555226
?q??&*?[,-6837.009765625,4037917812
???W????,-3.5096759061681134e+22,4294778419
N???o)??,-4546455884791808.0,556760078
[????/??,-0.00010422363266116008,1655718637
"F*?????,",68150171271168.0,2383872303
[F9?G?L?,-4.934942986749346e+18,3921932457
?E???N<),2.0315878209880064e+16,3668754942
????????,-7.569140869634339e-09,507799377
??EE???x,-3.8866084037296726e-19,1392537617
4??)????,4075261.75,1977283287
??????r2,1815.2030029296875,3359945999
????B???,2.051077999798553e-15,3519530616
+?}???$?,-4.001127418934404e+27,1466461681
"???;41A,",-2.328840507284122e-31,1124827402
mD??j??7,7.190776623957461e-29,4171676806
??s??|?`,5.745230590090337e-17,2453672151
??.?JS??,8.685272011137168e-13,205806997
???f?&??,1.8937039501148038e-17,4131022042
"??,?6???",-1013999534080.0,4104038663
?p??o?4q,6.142704716346657e+29,2389177845
v?z`?s1?,-186070368256.0,620143956
???3??@?,1.248125919336407e+30,1735927440
Ew???EB?,-2.1545248918286575e-10,3390915586
????d?Rr,-1353375678464.0,2203181038
?M????(T,2.936699217137573e-10,2817951600
/-?r?-?A,-4.6351744226381645e-39,700895802
???f+???,-99207454720.0,1167115067
??j???oL,97864523776.0,2698826323
??y?A?y?,-8.390117598609909e-29,355826704
?}????2},3.7689695143253794e-35,3203249523
??%?}??0,1.4800858739484353e+27,4119775382
?l???<?5,-4.1977514524926314e-31,3854480213
???$??Zg,1.294933557510376,3276177279
????R.?l,6.039737720370253e-12,1822761935
v?_)????,-3932243361792.0,4098307446
?Rq???4V,1.219406352890475e-31,595242802
?d?`?g??,1.0275401753176192e-21,1254346413
B??C???R,1571261.625,3604515750
3??/??-l,-8.676806474565288e-28,4230372666
M??;???a,-1.445214219149536e-28,3503592724
7??o?} ?,nan,1554262626
R??????$,-0.020270250737667084,735528912
